Firm_ID,Year,NIC,GVA
ADANIPORTS.NS,2024,42,166937000000.0
ADANIPORTS.NS,2023,42,114686600000.0
ADANIGREEN.NS,2026,35,112330000000.0
ADANIGREEN.NS,2025,35,95500000000.0
ADANIGREEN.NS,2024,35,77630000000.0
ADANIGREEN.NS,2023,35,53610000000.0
ADANIENT.NS,2026,19,260529100000.0
ADANIENT.NS,2025,19,195776700000.0
ADANIENT.NS,2024,19,116865200000.0
ADANIENT.NS,2023,19,86774300000.0
ACUTAAS.NS,2025,24,2490028000.0
ACUTAAS.NS,2024,24,1038968000.0
ACUTAAS.NS,2023,24,1269265000.0
ACUTAAS.NS,2022,24,1079379000.0
ADANIPOWER.NS,2026,35,230178500000.0
ADANIPOWER.NS,2025,35,237410000000.0
ADANIPOWER.NS,2024,35,278022700000.0
ADANIPOWER.NS,2023,35,140185400000.0
ADOR.NS,2026,42,1366800000.0
ADOR.NS,2025,42,1093400000.0
ADOR.NS,2024,42,1370100000.0
ADOR.NS,2023,42,930800000.0
ADROITINFO.NS,2026,62,83290000.0
ADROITINFO.NS,2025,62,43249000.0
ADROITINFO.NS,2024,62,56510000.0
ADROITINFO.NS,2023,62,57125000.0
ADL.NS,2026,29,32970000.0
ADL.NS,2025,29,41825000.0
ADL.NS,2024,29,44570000.0
ADL.NS,2023,29,37237000.0
ADVANCE.NS,2026,24,676610000.0
ADVANCE.NS,2025,24,482450000.0
ADVANCE.NS,2024,24,406750000.0
ADVANCE.NS,2023,24,255480000.0
ADSL.NS,2026,62,752900000.0
ADSL.NS,2025,62,987000000.0
ADSL.NS,2024,62,838200000.0
ADSL.NS,2023,62,933800000.0
ADVAIT.NS,2026,42,965057000.0
ADVAIT.NS,2025,42,581320000.0
ADVAIT.NS,2024,42,376264000.0
ADVAIT.NS,2023,42,172872000.0
ADVENZYMES.NS,2026,24,2752570000.0
ADVENZYMES.NS,2025,24,2274770000.0
ADVENZYMES.NS,2024,24,2259910000.0
ADVENZYMES.NS,2023,24,1778380000.0
ADVANIHOTR.NS,2026,29,347458000.0
ADVANIHOTR.NS,2025,29,384153000.0
ADVANIHOTR.NS,2024,29,369198000.0
ADVANIHOTR.NS,2023,29,411526000.0
ADVENTHTL.NS,2026,29,1653906000.0
ADVENTHTL.NS,2025,29,1306778000.0
AEGISLOG.NS,2026,19,17784300000.0
AEGISLOG.NS,2025,19,13063300000.0
AEGISLOG.NS,2024,19,11079487000.0
AEGISLOG.NS,2023,19,8541628000.0
AEGISVOPAK.NS,2026,19,7239180000.0
AEGISVOPAK.NS,2025,19,6064724000.0
AEGISVOPAK.NS,2024,19,4042750000.0
AEGISVOPAK.NS,2023,19,2314050000.0
ADFFOODS.NS,2026,10,1439266000.0
ADFFOODS.NS,2025,10,1124251000.0
ADFFOODS.NS,2024,10,1160017000.0
ADFFOODS.NS,2023,10,913060000.0
AEQUS.NS,2026,42,1585090000.0
AEQUS.NS,2025,42,682280000.0
AEQUS.NS,2024,42,1634860000.0
AEQUS.NS,2023,42,448700000.0
AEROENTER.NS,2026,24,1488500000.0
AEROENTER.NS,2025,24,1298254000.0
AEROENTER.NS,2024,24,3505023000.0
AEROENTER.NS,2023,24,719017000.0
AEPL.NS,2026,42,131149000.0
AEPL.NS,2025,42,117335000.0
AEPL.NS,2024,42,78450000.0
AEPL.NS,2023,42,110471000.0
AERONEU.NS,2026,29,84302000.0
AERONEU.NS,2025,29,62211000.0
AERONEU.NS,2024,29,69302000.0
AERONEU.NS,2023,29,86940000.0
AETHER.NS,2026,24,3755870000.0
AETHER.NS,2025,24,2709310000.0
AETHER.NS,2024,24,1572630000.0
AETHER.NS,2023,24,2019560000.0
AFCONS.NS,2026,42,15143200000.0
AFCONS.NS,2025,42,18303100000.0
AFCONS.NS,2024,42,15831400000.0
AFCONS.NS,2023,42,13737890000.0
AFIL.NS,2026,64,574716000.0
AFIL.NS,2025,64,463655600.0
AFIL.NS,2024,64,244804000.0
AFIL.NS,2023,64,201072000.0
AFFORDABLE.NS,2026,42,171627000.0
AFFORDABLE.NS,2024,42,153310000.0
AFFORDABLE.NS,2023,42,83028000.0
AFFLE.NS,2026,61,6883050000.0
AFFLE.NS,2025,61,5769260000.0
AFFLE.NS,2024,61,4124510000.0
AFFLE.NS,2023,61,3370930000.0
