Company name,Symbol,Sector
Harischandra Mills,CSE: HARI.N0000,Consumer Non-Durables
Hatton National Bank,CSE: HNB.N0000,Finance
Hatton Plantations,CSE: HPL.N0000,Consumer Non-Durables
Haycarb,CSE: HAYC.N0000,Producer Manufacturing
Hayleys Fabric,CSE: MGT.N0000,Process Industries
Hayleys Fibre,CSE: HEXP.N0000,Process Industries
Hayleys Leisure,CSE: CONN.N0000,Consumer Services
Hayleys,CSE: HAYL.N0000,Producer Manufacturing
Hela Apparel Holdings,CSE: HELA.N0000,Consumer Non-Durables
Hemas Holdings,CSE: HHL.N0000,Health Services
Hikkaduwa Beach Resort,CSE: CITH.N0000,Consumer Services
HNB Assurance,CSE: HASU.N0000,Finance
HNB Finance,CSE: HNBF.N0000,Finance
Horana Plantations,CSE: HOPL.N0000,Process Industries
Hotel Sigiriya,CSE: HSIG.N0000,Consumer Services
HDFC Bank of Sri Lanka,CSE: HDFC.N0000,Finance
hSenid Business Solutions,CSE: HBS.N0000,Technology Services
Hunas Holdings,CSE: HUNA.N0000,Consumer Services
Hunters & Company,CSE: HUNT.N0000,Finance
HVA Foods,CSE: HVA.N0000,Consumer Non-Durables
Industrial Asphalts (Lanka),CSE: ASPH.N0000,Non-Energy Minerals
Janashakthi Insurance,CSE: JINS.N0000,Finance
JAT Holdings,CSE: JAT.N0000,Finance
Jetwing Symphony,CSE: JETS.N0000,Consumer Services
John Keells Holdings,CSE: JKH.N0000,Retail Trade
John Keells Hotels,CSE: KHL.N0000,Consumer Services
John Keells,CSE: JKL.N0000,Finance
Kahawatte Plantations,CSE: KAHA.N0000,Process Industries
Kapruka Holdings,CSE: KPHL.N0000,Retail Trade
Keells Food Products,CSE: KFP.N0000,Distribution Services
Kegalle Plantations,CSE: KGAL.N0000,Process Industries
Kelani Cables,CSE: KCAB.N0000,Producer Manufacturing
Kelani Tyres,CSE: TYRE.N0000,Consumer Durables
Kelani Valley Plantations,CSE: KVAL.N0000,Process Industries
Kelsey Developments,CSE: KDL.N0000,Finance
Kotagala Plantations,CSE: KOTA.N0000,Non-Energy Minerals
Kotmale Holdings,CSE: LAMB.N0000,Consumer Non-Durables
LB Finance,CSE: LFIN.N0000,Finance
Lake House Printers & Publishers,CSE: LPRT.N0000,Commercial Services
Lanka Aluminium Industries,CSE: LALU.N0000,Non-Energy Minerals
Lanka Ashok Leyland,CSE: ASHO.N0000,Consumer Durables
