Metric,Linear_Weight,Target_Company_Value,Industry_Average,Industry_Median,Status,Peer_Values
Percentage Of Differently Abled Employees Or Workers - Male Member - Permanent Workers Member,0.455111,1.0,1.0,1.0,Underperforming,{'Tata Motors Limited': 1.0}
Turnover Rate - Female Member - Permanent Employees Member,0.388574,0.11,0.11,0.11,Underperforming,{'Tata Motors Limited': 0.11}
Number Of Employees Or Workers Including Differently Abled - Male Member - Other Than Permanent Employees Member,0.272378,63.0,63.0,63.0,Underperforming,{'Tata Motors Limited': 63.0}
Number Of Differently Abled Employees Or Workers - Female Member - Permanent Employees Member,0.002511,0.0,0.0,0.0,Underperforming,{'Tata Motors Limited': 0.0}
